date,interest,value,Positive,Neutral,Negative
2018-01-14,0.63,0.8791133333333334,0.5,0.375,0.125
2018-01-15,0.5928571428571429,0.8589966666666666,0.6666666666666666,0.08333333333333333,0.25
2018-01-16,0.5557142857142857,0.75961,0.5625,0.375,0.0625
2018-01-17,0.5185714285714286,0.6875933333333333,0.25,0.75,0.0
2018-01-18,0.4814285714285714,0.6688766666666667,0.3333333333333333,0.5,0.16666666666666666
2018-01-19,0.4442857142857143,0.6554766666666666,0.8333333333333334,0.16666666666666666,0.0
2018-01-20,0.40714285714285714,0.7027000000000001,0.38461538461538464,0.46153846153846156,0.15384615384615385
2018-01-21,0.37,0.7285733333333334,0.3,0.7,0.0
2018-01-22,0.37571428571428567,0.6667933333333332,0.2857142857142857,0.7142857142857143,0.0
2018-01-23,0.38142857142857145,0.6556533333333333,0.5454545454545454,0.36363636363636365,0.09090909090909091
2018-01-24,0.3871428571428572,0.67363,0.2777777777777778,0.5,0.2222222222222222
2018-01-25,0.39285714285714285,0.6803000000000001,0.625,0.25,0.125
2018-01-26,0.3985714285714285,0.6882866666666667,0.375,0.5,0.125
2018-01-27,0.4042857142857143,0.7279566666666666,0.5,0.3333333333333333,0.16666666666666666
2018-01-28,0.41,0.7886933333333334,0.5714285714285714,0.42857142857142855,0.0
2018-01-29,0.40142857142857147,0.8029366666666669,0.21428571428571427,0.7142857142857143,0.07142857142857142
2018-01-30,0.39285714285714285,0.7335200000000002,0.6666666666666666,0.3333333333333333,0.0
2018-01-31,0.3842857142857143,0.7104566666666666,0.5,0.375,0.125
2018-02-01,0.37571428571428567,0.7273166666666666,0.7777777777777778,0.1111111111111111,0.1111111111111111
2018-02-02,0.36714285714285716,0.6427866666666666,0.0,0.8,0.2
2018-02-03,0.3585714285714286,0.6098566666666667,0.45454545454545453,0.36363636363636365,0.18181818181818182
2018-02-04,0.35,0.58108,0.7,0.19999999999999998,0.09999999999999999
2018-02-05,0.3342857142857143,0.51052,0.4,0.4,0.2
2018-02-06,0.31857142857142856,0.48639000000000004,0.5333333333333333,0.3333333333333333,0.13333333333333333
2018-02-07,0.3028571428571428,0.5110766666666666,0.5454545454545454,0.45454545454545453,0.0
2018-02-08,0.28714285714285714,0.5260166666666667,0.6666666666666666,0.16666666666666666,0.16666666666666666
2018-02-09,0.2714285714285714,0.6480333333333334,0.625,0.25,0.125
2018-02-10,0.25571428571428567,0.6636866666666668,1.0,0.0,0.0
2018-02-11,0.24,0.5564666666666667,0.3333333333333333,0.6666666666666666,0.0
2018-02-12,0.23571428571428574,0.56475,0.4166666666666667,0.25,0.3333333333333333
2018-02-13,0.23142857142857143,0.57542,0.375,0.5,0.125
2018-02-14,0.22714285714285715,0.5966033333333333,0.625,0.125,0.25
2018-02-15,0.22285714285714284,0.6189766666666665,0.5714285714285714,0.35714285714285715,0.07142857142857142
2018-02-16,0.21857142857142858,0.6368233333333333,0.5714285714285714,0.2857142857142857,0.14285714285714285
2018-02-17,0.2142857142857143,0.65007,0.8333333333333334,0.16666666666666666,0.0
2018-02-18,0.21,0.6120833333333333,0.3333333333333333,0.6666666666666666,0.0
2018-02-19,0.20428571428571426,0.6201166666666666,0.8888888888888888,0.0,0.1111111111111111
2018-02-20,0.19857142857142857,0.61025,0.6,0.4,0.0
2018-02-21,0.19285714285714284,0.5774833333333332,0.4444444444444444,0.5555555555555556,0.0
2018-02-22,0.18714285714285717,0.5474933333333334,0.6,0.3,0.09999999999999999
2018-02-23,0.1814285714285714,0.5498066666666667,0.6666666666666666,0.3333333333333333,0.0
2018-02-24,0.17571428571428574,0.56427,0.6666666666666666,0.0,0.3333333333333333
2018-02-25,0.17,0.5675399999999999,0.25,0.625,0.125
2018-02-26,0.17142857142857143,0.57434,0.6,0.4,0.0
2018-02-27,0.17285714285714285,0.5739533333333333,0.7647058823529411,0.23529411764705882,0.0
2018-02-28,0.17428571428571427,0.5688599999999999,0.36363636363636365,0.5454545454545454,0.09090909090909091
2018-03-01,0.17571428571428574,0.5697566666666667,0.6363636363636364,0.36363636363636365,0.0
2018-03-02,0.17714285714285716,0.5719433333333334,0.8181818181818182,0.09090909090909091,0.09090909090909091
2018-03-03,0.17857142857142858,0.5724299999999999,0.375,0.5,0.125
2018-03-04,0.18,0.5764266666666668,0.5882352941176471,0.29411764705882354,0.11764705882352941
2018-03-05,0.17714285714285716,0.5693166666666666,0.7058823529411765,0.23529411764705882,0.058823529411764705
2018-03-06,0.17428571428571427,0.55202,0.6,0.4,0.0
2018-03-07,0.17142857142857143,0.5371466666666667,0.5833333333333334,0.4166666666666667,0.0
2018-03-08,0.16857142857142857,0.5084666666666667,0.7272727272727273,0.18181818181818182,0.09090909090909091
2018-03-09,0.16571428571428573,0.48946000000000006,0.75,0.15,0.1
2018-03-10,0.16285714285714284,0.48029666666666665,0.6,0.4,0.0
2018-03-11,0.16,0.48815000000000003,0.75,0.25,0.0
2018-03-12,0.16,0.4908666666666666,0.55,0.4,0.05
2018-03-13,0.16,0.4744233333333333,0.3157894736842105,0.5263157894736842,0.15789473684210525
2018-03-14,0.16,0.4414466666666667,0.3333333333333333,0.5555555555555556,0.1111111111111111
2018-03-15,0.16,0.40445666666666663,0.5,0.4,0.1
2018-03-16,0.16,0.39613333333333334,0.9285714285714286,0.0,0.07142857142857142
2018-03-17,0.16,0.3836366666666666,0.2222222222222222,0.6666666666666666,0.1111111111111111
2018-03-18,0.16,0.3605133333333333,0.3888888888888889,0.5,0.1111111111111111
